iter	Passed	Remaining
0	270	269910
1	275	137397
2	281	93500
3	289	71976
4	297	59164
5	303	50257
6	310	44047
7	316	39230
8	322	35527
9	329	32661
10	335	30192
11	343	28298
12	349	26510
13	356	25100
14	361	23760
15	367	22602
16	373	21617
17	379	20688
18	385	19928
19	391	19174
20	398	18573
21	404	17972
22	410	17445
23	415	16905
24	423	16497
25	429	16081
26	435	15692
27	441	15320
28	446	14951
29	453	14665
30	462	14453
31	471	14269
32	478	14009
33	485	13785
34	490	13521
35	497	13333
36	503	13109
37	512	12963
38	517	12745
39	526	12625
40	533	12475
41	541	12341
42	546	12152
43	549	11933
44	553	11744
45	556	11536
46	559	11337
47	561	11131
48	563	10933
49	565	10750
50	568	10586
51	570	10404
52	572	10226
53	573	10053
54	575	9887
55	577	9729
56	578	9572
57	580	9422
58	583	9299
59	584	9164
60	586	9030
61	588	8902
62	590	8778
63	591	8657
64	593	8540
65	595	8428
66	598	8332
67	600	8225
68	601	8121
69	603	8018
70	604	7915
71	606	7815
72	608	7721
73	609	7628
74	611	7545
75	613	7462
76	615	7376
77	616	7291
78	618	7208
79	620	7130
80	621	7050
81	622	6972
82	623	6888
83	624	6815
84	627	6755
85	629	6686
86	630	6620
87	632	6554
88	634	6489
89	635	6424
90	636	6361
91	639	6308
92	640	6249
93	643	6199
94	644	6143
95	646	6086
96	647	6030
97	649	5976
98	650	5923
99	652	5870
100	653	5818
101	655	5770
102	658	5735
103	660	5686
104	661	5637
105	662	5590
106	664	5545
107	666	5501
108	667	5457
109	669	5414
110	672	5386
111	674	5349
112	676	5309
113	678	5270
114	679	5230
115	681	5191
116	682	5149
117	684	5112
118	685	5077
119	688	5048
120	690	5014
121	691	4975
122	693	4941
123	694	4907
124	696	4872
125	697	4838
126	698	4804
127	701	4778
128	704	4758
129	706	4727
130	708	4697
131	709	4666
132	711	4636
133	712	4606
134	714	4576
135	716	4551
136	718	4526
137	720	4499
138	721	4471
139	723	4442
140	724	4415
141	725	4385
142	727	4358
143	728	4331
144	732	4318
145	734	4297
146	736	4271
147	737	4247
148	739	4222
149	740	4197
150	742	4172
151	743	4148
152	745	4126
153	747	4106
154	749	4084
155	750	4062
156	752	4039
157	753	4017
158	755	3995
159	756	3973
160	757	3949
161	759	3928
162	761	3908
163	763	3889
164	764	3868
165	765	3847
166	767	3827
167	768	3806
168	770	3786
169	771	3766
170	772	3747
171	774	3729
172	776	3714
173	778	3695
174	779	3676
175	781	3657
176	782	3639
177	784	3620
178	785	3602
179	787	3585
180	788	3567
181	790	3550
182	792	3536
183	793	3519
184	794	3501
185	796	3484
186	797	3467
187	798	3450
188	800	3433
189	801	3417
190	803	3402
191	805	3388
192	806	3374
193	808	3358
194	809	3342
195	811	3327
196	812	3312
197	813	3297
198	815	3282
199	817	3268
200	818	3253
201	820	3240
202	822	3227
203	823	3212
204	824	3198
205	826	3184
206	827	3170
207	829	3157
208	830	3143
209	832	3130
210	833	3117
211	835	3105
212	837	3093
213	838	3080
214	840	3068
215	841	3055
216	843	3043
217	844	3030
218	846	3017
219	847	3004
220	849	2993
221	851	2982
222	852	2970
223	853	2957
224	855	2945
225	856	2933
226	858	2921
227	859	2910
228	860	2898
229	862	2887
230	863	2875
231	865	2866
232	867	2855
233	868	2844
234	870	2832
235	871	2821
236	873	2810
237	874	2799
238	875	2788
239	877	2778
240	878	2767
241	880	2758
242	882	2748
243	883	2738
244	885	2727
245	886	2717
246	887	2706
247	889	2696
248	890	2686
249	892	2676
250	893	2666
251	895	2658
252	897	2649
253	898	2639
254	899	2629
255	901	2619
256	902	2609
257	903	2599
258	905	2590
259	906	2581
260	908	2572
261	910	2563
262	912	2555
263	913	2546
264	914	2537
265	916	2528
266	917	2519
267	919	2510
268	920	2501
269	922	2493
270	924	2485
271	925	2478
272	927	2469
273	928	2461
274	930	2452
275	931	2443
276	933	2435
277	934	2427
278	935	2418
279	937	2410
280	939	2402
281	940	2395
282	942	2387
283	943	2379
284	945	2371
285	946	2363
286	948	2355
287	949	2347
288	951	2339
289	952	2332
290	954	2325
291	956	2318
292	957	2311
293	959	2303
294	960	2295
295	962	2288
296	963	2281
297	965	2273
298	966	2266
299	968	2259
300	970	2253
301	971	2245
302	973	2238
303	974	2231
304	975	2223
305	977	2216
306	978	2209
307	980	2202
308	981	2195
309	983	2188
310	984	2182
311	986	2175
312	987	2168
313	989	2161
314	990	2154
315	992	2147
316	993	2140
317	995	2133
318	996	2127
319	997	2120
320	1000	2115
321	1001	2108
322	1002	2102
323	1004	2095
324	1006	2089
325	1007	2082
326	1008	2076
327	1010	2069
328	1011	2063
329	1013	2057
330	1015	2052
331	1017	2047
332	1019	2041
333	1020	2035
334	1022	2029
335	1023	2023
336	1025	2017
337	1026	2011
338	1028	2005
339	1030	2001
340	1032	1995
341	1033	1989
342	1035	1983
343	1036	1977
344	1038	1971
345	1039	1965
346	1041	1959
347	1042	1954
348	1045	1949
349	1046	1943
350	1048	1938
351	1049	1932
352	1051	1927
353	1053	1921
354	1054	1915
355	1055	1910
356	1057	1904
357	1059	1899
358	1061	1895
359	1063	1890
360	1065	1885
361	1066	1880
362	1068	1874
363	1069	1869
364	1071	1863
365	1073	1858
366	1075	1854
367	1076	1849
368	1078	1844
369	1079	1838
370	1081	1833
371	1083	1828
372	1084	1823
373	1086	1817
374	1087	1812
375	1089	1808
376	1091	1803
377	1093	1798
378	1094	1793
379	1096	1788
380	1097	1783
381	1099	1778
382	1100	1773
383	1102	1768
384	1104	1764
385	1106	1759
386	1107	1754
387	1109	1750
388	1110	1744
389	1112	1739
390	1114	1735
391	1115	1730
392	1117	1725
393	1119	1721
394	1121	1717
395	1122	1712
396	1123	1707
397	1125	1702
398	1127	1697
399	1128	1692
400	1129	1687
401	1131	1683
402	1133	1678
403	1134	1674
404	1136	1669
405	1138	1665
406	1139	1660
407	1141	1655
408	1142	1650
409	1143	1646
410	1145	1641
411	1146	1636
412	1148	1633
413	1150	1628
414	1152	1624
415	1153	1619
416	1155	1615
417	1156	1610
418	1158	1606
419	1159	1601
420	1161	1597
421	1162	1592
422	1164	1589
423	1166	1584
424	1168	1580
425	1169	1576
426	1171	1572
427	1172	1567
428	1174	1563
429	1175	1558
430	1177	1554
431	1179	1551
432	1181	1547
433	1183	1543
434	1184	1538
435	1186	1534
436	1188	1530
437	1189	1526
438	1191	1522
439	1192	1518
440	1194	1514
441	1196	1510
442	1197	1505
443	1199	1501
444	1201	1497
445	1202	1493
446	1204	1489
447	1205	1485
448	1207	1481
449	1209	1477
450	1210	1473
451	1212	1469
452	1213	1465
453	1215	1461
454	1216	1457
455	1218	1453
456	1220	1449
457	1221	1445
458	1223	1441
459	1225	1438
460	1227	1434
461	1228	1430
462	1230	1426
463	1231	1422
464	1233	1419
465	1234	1415
466	1236	1410
467	1238	1407
468	1239	1403
469	1241	1400
470	1242	1395
471	1244	1392
472	1246	1388
473	1247	1384
474	1248	1380
475	1250	1376
476	1252	1373
477	1254	1369
478	1255	1366
479	1257	1362
480	1259	1358
481	1260	1354
482	1261	1350
483	1263	1347
484	1265	1343
485	1266	1339
486	1268	1335
487	1270	1332
488	1271	1329
489	1273	1325
490	1274	1321
491	1276	1317
492	1277	1314
493	1279	1310
494	1280	1306
495	1282	1303
496	1284	1299
497	1285	1296
498	1287	1292
499	1288	1288
500	1290	1285
501	1292	1281
502	1293	1278
503	1295	1274
504	1297	1271
505	1298	1268
506	1300	1264
507	1302	1261
508	1303	1257
509	1305	1254
510	1306	1250
511	1308	1247
512	1310	1243
513	1311	1239
514	1313	1236
515	1315	1233
516	1316	1230
517	1318	1226
518	1319	1223
519	1321	1219
520	1322	1216
521	1324	1212
522	1325	1209
523	1327	1206
524	1329	1202
525	1330	1199
526	1332	1196
527	1334	1192
528	1335	1189
529	1337	1185
530	1339	1182
531	1340	1179
532	1342	1176
533	1344	1173
534	1346	1170
535	1347	1166
536	1349	1163
537	1350	1160
538	1352	1156
539	1353	1153
540	1355	1149
541	1357	1146
542	1359	1143
543	1360	1140
544	1362	1137
545	1363	1134
546	1365	1130
547	1366	1127
548	1368	1123
549	1369	1120
550	1371	1117
551	1373	1114
552	1374	1111
553	1376	1107
554	1377	1104
555	1379	1101
556	1380	1097
557	1382	1094
558	1383	1091
559	1385	1088
560	1386	1085
561	1388	1082
562	1390	1079
563	1391	1076
564	1393	1072
565	1395	1069
566	1396	1066
567	1398	1063
568	1399	1060
569	1401	1056
570	1403	1054
571	1405	1051
572	1406	1048
573	1408	1045
574	1409	1041
575	1410	1038
576	1412	1035
577	1413	1032
578	1415	1029
579	1417	1026
580	1420	1024
581	1421	1021
582	1423	1018
583	1425	1015
584	1427	1012
585	1428	1009
586	1429	1006
587	1431	1002
588	1433	1000
589	1435	997
590	1436	994
591	1438	991
592	1439	988
593	1440	984
594	1442	981
595	1443	978
596	1445	975
597	1447	973
598	1449	970
599	1451	967
600	1452	964
601	1454	961
602	1455	958
603	1457	955
604	1458	952
605	1460	949
606	1462	946
607	1464	943
608	1465	940
609	1467	938
610	1468	935
611	1470	932
612	1471	929
613	1473	926
614	1474	923
615	1476	920
616	1478	917
617	1479	914
618	1481	911
619	1483	908
620	1484	906
621	1486	903
622	1487	900
623	1489	897
624	1490	894
625	1492	891
626	1494	889
627	1496	886
628	1497	883
629	1499	880
630	1501	877
631	1502	874
632	1504	872
633	1505	869
634	1507	866
635	1509	863
636	1510	860
637	1512	857
638	1513	855
639	1515	852
640	1516	849
641	1518	846
642	1520	843
643	1521	841
644	1523	838
645	1525	835
646	1526	833
647	1528	830
648	1529	827
649	1531	824
650	1533	821
651	1534	819
652	1536	816
653	1538	814
654	1540	811
655	1541	808
656	1543	805
657	1544	802
658	1546	800
659	1547	797
660	1549	794
661	1551	792
662	1553	789
663	1554	786
664	1556	784
665	1558	781
666	1559	778
667	1561	775
668	1562	773
669	1564	770
670	1566	767
671	1568	765
672	1569	762
673	1571	759
674	1572	757
675	1574	754
676	1575	751
677	1577	749
678	1578	746
679	1579	743
680	1582	741
681	1584	738
682	1585	735
683	1587	733
684	1588	730
685	1590	727
686	1591	725
687	1593	722
688	1595	719
689	1596	717
690	1598	714
691	1599	712
692	1601	709
693	1602	706
694	1604	704
695	1606	701
696	1607	698
697	1609	696
698	1611	694
699	1613	691
700	1614	688
701	1616	686
702	1617	683
703	1619	680
704	1620	678
705	1622	675
706	1624	673
707	1626	671
708	1628	668
709	1630	665
710	1631	663
711	1633	660
712	1634	658
713	1636	655
714	1637	652
715	1639	650
716	1641	647
717	1643	645
718	1644	642
719	1646	640
720	1647	637
721	1649	635
722	1650	632
